Quarter,Time,Down,ToGo,Location,Detail,PIT,NWE,EPB,EPA
2,01:27,1,10,PIT 42,Tom Brady pass complete short left to Rex Burkhead for 5 yards (tackle by Devin Bush),0,17,2.79,2.92
2,01:03,2,5,PIT 37,Tom Brady pass incomplete deep right intended for Julian Edelman,0,17,2.92,2.21
2,01:00,3,5,PIT 37,Tom Brady pass complete short left to James White for 10 yards,0,17,2.21,3.78
2,00:54,1,10,PIT 27,Tom Brady pass complete short left to Phillip Dorsett for 4 yards (tackle by Terrell Edmunds),0,17,3.78,3.77
2,00:32,2,6,PIT 23,Tom Brady pass incomplete short middle intended for Rex Burkhead,0,17,3.77,3.07
2,00:27,3,6,PIT 23,Tom Brady pass incomplete short right intended for James White,0,17,3.07,1.95
2,00:21,4,6,PIT 23,Stephen Gostkowski 41 yard field goal good,0,20,1.95,3
2,00:17,,,NWE 35,"Stephen Gostkowski kicks off 65 yards, touchback.",0,20,0,0.61
2,00:17,1,10,PIT 25,James Conner up the middle for 4 yards (tackle by Patrick Chung),0,20,0.61,0.6
3,15:00,,,NWE 35,"Stephen Gostkowski kicks off 65 yards, touchback.",0,20,0,0.61
3,15:00,1,10,PIT 25,Ben Roethlisberger pass complete short middle to James Conner for 5 yards (tackle by Dont'a Hightower and John Simon),0,20,0.61,0.74
3,14:18,2,5,PIT 30,Ben Roethlisberger pass complete short left to Ryan Switzer for 7 yards (tackle by Jamie Collins and Jonathan Jones),0,20,0.74,1.4
3,13:35,1,10,PIT 37,Ben Roethlisberger pass incomplete short right intended for JuJu Smith-Schuster (defended by John Simon),0,20,1.4,0.86
3,13:32,2,10,PIT 37,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,0,20,0.86,0.17
3,13:27,3,10,PIT 37,Ben Roethlisberger pass complete deep right to James Washington for 45 yards,0,20,0.17,4.37
3,12:59,1,10,NWE 18,Ben Roethlisberger pass incomplete deep right intended for Donte Moncrief (defended by Jason McCourty),0,20,4.37,3.8
3,12:52,2,10,NWE 18,Ben Roethlisberger right tackle for 7 yards (tackle by Dont'a Hightower),0,20,3.8,4.26
3,12:03,3,3,NWE 11,"Ben Roethlisberger pass incomplete short left intended for Diontae Johnson (defended by Jonathan Jones). Penalty on Stephon Gilmore: Defensive Holding, 5 yards (no play)",0,20,4.26,5.83
3,11:58,1,6,NWE 6,"Ben Roethlisberger sacked by Deatrich Wise for no gain. Ben Roethlisberger fumbles (forced by Deatrich Wise), recovered by Ramon Foster at NE-4 (tackle by Dont'a Hightower)",0,20,5.83,5.34
3,11:11,2,4,NWE 4,James Conner right end for 3 yards (tackle by Jamie Collins and Patrick Chung),0,20,5.34,5.17
3,10:23,,,,Timeout #1 by Pittsburgh Steelers,,,,
3,10:23,3,1,NWE 1,Ben Roethlisberger pass incomplete short left intended for Donte Moncrief,0,20,5.17,3.55
3,10:19,4,1,NWE 1,Chris Boswell 19 yard field goal good,3,20,3.55,3
3,10:17,,,PIT 35,"Chris Boswell kicks off 60 yards, returned by Brandon Bolden for 20 yards (tackle by Johnny Holton and Jordan Dangerfield)",3,20,0,0.61
3,10:07,1,10,NWE 25,Tom Brady pass complete short left to Julian Edelman for 17 yards (tackle by Mike Hilton),3,20,0.61,1.73
3,09:32,1,10,NWE 42,Sony Michel right tackle for -3 yards (tackle by T.J. Watt),3,20,1.73,0.78
3,08:49,2,13,NWE 39,Tom Brady pass complete short right to Ryan Izzo for 3 yards (tackle by Devin Bush),3,20,0.78,0.5
3,08:13,3,10,NWE 42,"Tom Brady pass complete deep right to Phillip Dorsett for 58 yards, touchdown",3,26,0.5,7
3,08:05,,,PIT 15,Stephen Gostkowski kicks extra point good,3,27,0,0
3,08:05,,,NWE 35,"Stephen Gostkowski kicks off 63 yards, returned by Ryan Switzer for 26 yards (tackle by Stephen Gostkowski)",3,27,0,0.81
3,07:57,1,10,PIT 28,Ben Roethlisberger pass complete short right to James Conner for 7 yards (tackle by Jonathan Jones),3,27,0.81,1.21
3,07:21,2,3,PIT 35,Ben Roethlisberger pass complete short right to James Conner for 23 yards (tackle by Devin McCourty),3,27,1.21,2.79
3,06:43,1,10,NWE 42,"Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 27 yards (tackle by Dont'a Hightower and Devin McCourty). Penalty on Diontae Johnson: Offensive Pass Interference, 10 yards (no play)",3,27,2.79,2.13
3,06:08,1,20,PIT 48,"Ben Roethlisberger pass complete short middle to Diontae Johnson for 7 yards (tackle by Jonathan Jones). Penalty on Shilique Calhoun: Defensive Offside, 5 yards (no play)",3,27,2.13,2.46
3,05:41,1,15,NWE 47,Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson,3,27,2.46,1.57
3,05:36,2,15,NWE 47,Ben Roethlisberger pass incomplete short left intended for James Washington,3,27,1.57,0.89
3,05:32,3,15,NWE 47,Ben Roethlisberger pass incomplete short right intended for Johnny Holton,3,27,0.89,0.13
3,05:27,4,15,NWE 47,"Jordan Berry punts 37 yards, fair catch by Gunner Olszewski at NE-10",3,27,0.13,0.38
3,05:20,1,10,NWE 10,Tom Brady pass complete short middle to Julian Edelman for 4 yards (tackle by Vince Williams),3,27,-0.38,-0.46
3,04:39,2,6,NWE 14,Tom Brady pass complete deep middle to Josh Gordon for 44 yards (tackle by Terrell Edmunds),3,27,-0.46,2.79
3,04:10,1,10,PIT 42,Tom Brady pass complete short left to Rex Burkhead for 5 yards (tackle by Devin Bush),3,27,2.79,2.92
3,03:33,2,5,PIT 37,Rex Burkhead right end for 11 yards (tackle by Devin Bush and Terrell Edmunds),3,27,2.92,3.84
3,02:55,1,10,PIT 26,Rex Burkhead right guard for 11 yards (tackle by Devin Bush),3,27,3.84,4.58
3,02:11,1,10,PIT 15,Rex Burkhead up the middle for 3 yards (tackle by Terrell Edmunds and T.J. Watt),3,27,4.58,4.45
3,01:32,2,7,PIT 12,Rex Burkhead left tackle for 2 yards (tackle by Kameron Kelly),3,27,4.45,4
3,00:52,3,5,PIT 10,Tom Brady sacked by Bud Dupree for -7 yards,3,27,4,2.31
3,00:16,4,12,PIT 17,Stephen Gostkowski 35 yard field goal good,3,30,2.31,3
3,00:13,,,NWE 35,"Stephen Gostkowski kicks off 65 yards, touchback.",3,30,0,0.61
3,00:13,1,10,PIT 25,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 9 yards (tackle by Stephon Gilmore),3,30,0.61,1.28
4,15:00,2,1,PIT 34,Ben Roethlisberger pass complete short middle to JuJu Smith-Schuster for 8 yards (tackle by Stephon Gilmore),3,30,1.28,1.73
4,14:30,1,10,PIT 42,Ben Roethlisberger pass complete short middle to Ryan Switzer for 7 yards (tackle by Devin McCourty),3,30,1.73,2.13
